TRADE_DATE,FLOW_CLOSE,FLOW_PCT_CHG,MAIN_NET_INFLOW,MAIN_NET_INFLOW_RATIO,XL_NET_INFLOW,XL_NET_INFLOW_RATIO,L_NET_INFLOW,L_NET_INFLOW_RATIO,M_NET_INFLOW,M_NET_INFLOW_RATIO,S_NET_INFLOW,S_NET_INFLOW_RATIO,TS_CODE
2025-10-24,178.0,6.46,177387360.0,2.18,-23328432.0,-0.29,200715792.0,2.47,6568944.0,0.08,-183956304.0,-2.26,300394.SZ
2025-10-27,190.06,6.78,405346256.0,4.51,425236240.0,4.74,-19889984.0,-0.22,-106962224.0,-1.19,-298384048.0,-3.32,300394.SZ
2025-10-28,189.11,-0.5,-241094192.0,-3.27,-87328144.0,-1.18,-153766048.0,-2.09,101513536.0,1.38,139580656.0,1.89,300394.SZ
2025-10-29,194.5,2.85,-318266800.0,-4.19,-124748416.0,-1.64,-193518384.0,-2.55,78689024.0,1.04,239577792.0,3.15,300394.SZ
2025-10-30,172.02,-11.56,-2459106896.0,-23.75,-814821184.0,-7.87,-1644285712.0,-15.88,1018686976.0,9.84,1440419936.0,13.91,300394.SZ
2025-10-31,158.01,-8.14,-1167491312.0,-13.94,-656465744.0,-7.84,-511025568.0,-6.1,106946784.0,1.28,1060544528.0,12.66,300394.SZ
2025-11-03,155.06,-1.87,-205161456.0,-4.24,-49967392.0,-1.03,-155194064.0,-3.21,-67469120.0,-1.39,272630560.0,5.63,300394.SZ
2025-11-04,153.94,-0.72,88006096.0,2.09,29688368.0,0.71,58317728.0,1.39,42036032.0,1.0,-130042128.0,-3.09,300394.SZ
2025-11-05,151.55,-1.55,-158865680.0,-4.39,-194702608.0,-5.39,35836928.0,0.99,107038464.0,2.96,51827232.0,1.43,300394.SZ
2025-11-06,155.32,2.49,59406304.0,1.2,162011056.0,3.28,-102604752.0,-2.08,48021616.0,0.97,-107427920.0,-2.18,300394.SZ
2025-11-07,175.0,12.67,2231540288.0,16.62,1661129824.0,12.37,570410464.0,4.25,-1225625616.0,-9.13,-1005914704.0,-7.49,300394.SZ
2025-11-10,180.0,2.86,228053216.0,2.27,3581344.0,0.04,224471872.0,2.23,-368669376.0,-3.67,140616192.0,1.4,300394.SZ
2025-11-11,165.58,-8.01,-545622832.0,-5.74,-406696624.0,-4.28,-138926208.0,-1.46,443868512.0,4.67,101754336.0,1.07,300394.SZ
2025-11-12,164.0,-0.95,-533427920.0,-9.07,-332774576.0,-5.66,-200653344.0,-3.41,48958368.0,0.83,484469568.0,8.24,300394.SZ
2025-11-13,162.74,-0.77,-62797280.0,-1.53,-11899216.0,-0.29,-50898064.0,-1.24,91001696.0,2.22,-28204400.0,-0.69,300394.SZ
2025-11-14,155.47,-4.47,-737794464.0,-19.59,-450531616.0,-11.96,-287262848.0,-7.63,225753952.0,6.0,512040512.0,13.6,300394.SZ
2025-11-17,150.9,-2.94,-624781920.0,-13.29,-442506560.0,-9.41,-182275360.0,-3.88,151919376.0,3.23,472862544.0,10.06,300394.SZ
2025-11-18,152.6,1.13,129773232.0,3.15,-10234496.0,-0.25,140007728.0,3.4,44676272.0,1.09,-174449520.0,-4.24,300394.SZ
2025-11-19,153.21,0.4,181249280.0,4.14,191650416.0,4.38,-10401136.0,-0.24,45955296.0,1.05,-227204576.0,-5.19,300394.SZ
2025-11-20,160.08,4.48,705679648.0,10.01,697630368.0,9.9,8049280.0,0.11,-264301056.0,-3.75,-441378592.0,-6.26,300394.SZ
2025-11-21,148.33,-7.34,-401220368.0,-8.71,-192475984.0,-4.18,-208744384.0,-4.53,136477120.0,2.96,264743248.0,5.75,300394.SZ
2025-11-24,144.21,-2.78,-545088496.0,-12.83,-276894464.0,-6.52,-268194032.0,-6.31,148820336.0,3.5,396268176.0,9.32,300394.SZ
2025-11-25,147.73,2.44,134501760.0,2.77,68184464.0,1.4,66317296.0,1.36,-125417344.0,-2.58,-9084400.0,-0.19,300394.SZ
2025-11-26,156.95,6.24,486729440.0,6.1,111395744.0,1.4,375333696.0,4.7,-261644640.0,-3.28,-225084816.0,-2.82,300394.SZ
2025-11-27,155.09,-1.19,-251067200.0,-3.65,-149906944.0,-2.18,-101160256.0,-1.47,28298976.0,0.41,222768208.0,3.24,300394.SZ
2025-11-28,158.0,1.88,424860240.0,7.31,263136512.0,4.53,161723728.0,2.78,-109762272.0,-1.89,-315097984.0,-5.42,300394.SZ
2025-12-01,158.32,0.2,-146129840.0,-2.65,-62458016.0,-1.13,-83671824.0,-1.52,102435184.0,1.86,43694656.0,0.79,300394.SZ
2025-12-02,161.98,2.31,374330672.0,6.04,320293168.0,5.17,54037504.0,0.87,-146899216.0,-2.37,-227431456.0,-3.67,300394.SZ
2025-12-03,173.45,7.08,1329178848.0,11.28,1403828912.0,11.92,-74650064.0,-0.63,-778789152.0,-6.61,-550389696.0,-4.67,300394.SZ
2025-12-04,187.12,7.88,715331536.0,6.04,706177664.0,5.96,9153872.0,0.08,-493985840.0,-4.17,-221345680.0,-1.87,300394.SZ
2025-12-05,198.75,6.22,285022448.0,2.25,-292577184.0,-2.31,577599632.0,4.55,-232096112.0,-1.83,-52926384.0,-0.42,300394.SZ
2025-12-08,236.9,19.19,509791632.0,3.14,1458450944.0,9.0,-948659312.0,-5.85,-510158960.0,-3.15,367392.0,0.0,300394.SZ
2025-12-09,240.15,1.37,-486939952.0,-3.54,-807181760.0,-5.87,320241808.0,2.33,217125216.0,1.58,269814736.0,1.96,300394.SZ
2025-12-10,235.36,-1.99,-1091828384.0,-9.85,-540279232.0,-4.88,-551549152.0,-4.98,275481472.0,2.49,816346896.0,7.37,300394.SZ
2025-12-11,219.68,-6.66,-2038679520.0,-16.3,-1626301792.0,-13.0,-412377728.0,-3.3,431815344.0,3.45,1606864144.0,12.84,300394.SZ
2025-12-12,215.16,-2.06,-877255456.0,-8.33,-245646688.0,-2.33,-631608768.0,-6.0,232421632.0,2.21,644833808.0,6.12,300394.SZ
2025-12-15,209.62,-2.57,-358575776.0,-5.42,-248008304.0,-3.75,-110567472.0,-1.67,-11653584.0,-0.18,370229360.0,5.6,300394.SZ
2025-12-16,199.3,-4.92,-406136496.0,-7.11,-48275824.0,-0.85,-357860672.0,-6.27,8740512.0,0.15,397395968.0,6.96,300394.SZ
2025-12-17,217.78,9.27,885756976.0,8.12,159619744.0,1.46,726137232.0,6.66,-123541376.0,-1.13,-762215600.0,-6.99,300394.SZ
2025-12-18,218.81,0.47,341361280.0,3.51,309652208.0,3.19,31709072.0,0.33,-60383248.0,-0.62,-280978048.0,-2.89,300394.SZ
