TRADE_DATE,FLOW_CLOSE,FLOW_PCT_CHG,MAIN_NET_INFLOW,MAIN_NET_INFLOW_RATIO,XL_NET_INFLOW,XL_NET_INFLOW_RATIO,L_NET_INFLOW,L_NET_INFLOW_RATIO,M_NET_INFLOW,M_NET_INFLOW_RATIO,S_NET_INFLOW,S_NET_INFLOW_RATIO,TS_CODE
2025-10-24,66.92,5.12,1158050080.0,9.76,1028808144.0,8.67,129241936.0,1.09,-398343280.0,-3.36,-759706800.0,-6.4,601138.SH
2025-10-27,72.43,8.23,1767769312.0,10.6,1597544160.0,9.58,170225152.0,1.02,-783785872.0,-4.7,-983983520.0,-5.9,601138.SH
2025-10-28,73.66,1.7,85620784.0,0.57,-190086288.0,-1.27,275707072.0,1.84,-169359792.0,-1.13,83738928.0,0.56,601138.SH
2025-10-29,80.47,9.25,995157952.0,6.26,1622003360.0,10.2,-626845408.0,-3.94,-738957456.0,-4.65,-256200560.0,-1.61,601138.SH
2025-10-30,77.64,-3.52,-1876720640.0,-9.72,-1627951360.0,-8.43,-248769280.0,-1.29,590377728.0,3.06,1286342576.0,6.66,601138.SH
2025-10-31,71.67,-7.69,-3283435280.0,-18.06,-2370795024.0,-13.04,-912640256.0,-5.02,755833280.0,4.16,2527601952.0,13.9,601138.SH
2025-11-03,74.56,4.03,582108512.0,3.7,850384224.0,5.41,-268275712.0,-1.71,-183901184.0,-1.17,-398207392.0,-2.53,601138.SH
2025-11-04,73.16,-1.88,-1050016512.0,-10.86,-891409920.0,-9.22,-158606592.0,-1.64,258837872.0,2.68,791178640.0,8.19,601138.SH
2025-11-05,74.91,2.39,279565264.0,2.29,-14104304.0,-0.12,293669568.0,2.41,11137888.0,0.09,-290703152.0,-2.38,601138.SH
2025-11-06,75.89,1.31,369297840.0,2.83,46689872.0,0.36,322607968.0,2.47,-199768112.0,-1.53,-169529712.0,-1.3,601138.SH
2025-11-07,72.37,-4.64,-2142019520.0,-18.53,-1317541424.0,-11.4,-824478096.0,-7.13,636680416.0,5.51,1505339104.0,13.02,601138.SH
2025-11-10,71.17,-1.66,-2254318800.0,-15.25,-1841041632.0,-12.45,-413277168.0,-2.8,563716112.0,3.81,1690602624.0,11.44,601138.SH
2025-11-11,67.7,-4.88,-1610033744.0,-16.5,-1169162288.0,-11.98,-440871456.0,-4.52,158469664.0,1.62,1451564048.0,14.87,601138.SH
