TRADE_DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMOUNT,OUTSTANDING_SHARE,TURNOVER,TS_CODE,AK_SYMBOL
2025-07-24,20.5,21.99,20.45,21.6,62772848.0,1338886694.0,653035625.0,0.0961246915128098,002428.SZ,sz002428
2025-07-25,21.59,22.22,21.23,21.99,59862545.0,1299031715.0,653035625.0,0.091668115349756,002428.SZ,sz002428
2025-07-28,22.0,23.05,21.71,22.72,68365320.0,1538692992.0,653035625.0,0.1046884999574104,002428.SZ,sz002428
2025-07-29,22.97,24.99,22.73,24.99,84392663.0,2076949081.0,653035625.0,0.1292313309859626,002428.SZ,sz002428
2025-07-30,25.12,25.46,23.69,24.0,119239381.0,2894934235.0,653035625.0,0.1825924596380174,002428.SZ,sz002428
2025-07-31,23.9,24.0,22.35,22.43,88549598.0,2036895511.0,653035625.0,0.1355968872295443,002428.SZ,sz002428
2025-08-01,22.5,22.59,21.78,21.81,52311521.0,1155883672.0,653035625.0,0.0801051565908062,002428.SZ,sz002428
2025-08-04,21.61,21.83,21.49,21.65,30376089.0,656833379.0,653035625.0,0.0465152096411279,002428.SZ,sz002428
2025-08-05,21.79,22.0,21.59,21.65,37458739.0,814198311.0,653035625.0,0.0573609425978866,002428.SZ,sz002428
2025-08-06,21.7,21.89,21.54,21.74,34584914.0,750751982.0,653035625.0,0.0529602255619668,002428.SZ,sz002428
2025-08-07,21.74,22.58,21.25,22.38,63866038.0,1401565606.0,653035625.0,0.0977987043203041,002428.SZ,sz002428
2025-08-08,22.18,23.63,22.08,22.87,65174508.0,1489155494.0,653035625.0,0.0998023775502293,002428.SZ,sz002428
2025-08-11,22.97,23.1,22.48,22.61,38813014.0,877951731.0,653035625.0,0.0594347574835599,002428.SZ,sz002428
2025-08-12,22.61,22.61,22.01,22.3,30130032.0,669714948.0,653035625.0,0.0461384200900218,002428.SZ,sz002428
2025-08-13,22.27,23.38,22.25,23.28,57304168.0,1309400038.0,653035625.0,0.0877504469989673,002428.SZ,sz002428
2025-08-14,23.19,23.58,22.79,22.92,47584543.0,1101720957.0,653035625.0,0.0728666877859841,002428.SZ,sz002428
2025-08-15,22.7,23.44,22.69,23.26,38838541.0,902657475.0,653035625.0,0.0594738472345976,002428.SZ,sz002428
2025-08-18,23.26,23.76,22.85,23.47,50463988.0,1178967217.0,653035625.0,0.0772760107842508,002428.SZ,sz002428
2025-08-19,23.5,25.82,23.03,25.82,112498754.0,2776157295.0,653035625.0,0.1722704699303349,002428.SZ,sz002428
2025-08-20,27.25,28.4,27.21,28.4,66376252.0,1850437990.0,653035625.0,0.101642620186303,002428.SZ,sz002428
2025-08-21,28.71,30.02,27.03,27.24,175092787.0,4971907089.0,653035625.0,0.2681213402408176,002428.SZ,sz002428
2025-08-22,27.18,28.25,26.7,26.88,109021659.0,2985865230.0,653035625.0,0.1669459594949356,002428.SZ,sz002428
2025-08-25,27.53,28.57,26.88,27.99,111725335.0,3111437866.0,653035625.0,0.1710861256612149,002428.SZ,sz002428
2025-08-26,27.76,29.94,27.68,28.12,105298010.0,3019922891.0,653035625.0,0.1612438984473473,002428.SZ,sz002428
2025-08-27,27.66,28.98,27.53,27.54,91889240.0,2596934009.0,653035625.0,0.1407109145079183,002428.SZ,sz002428
2025-08-28,27.81,29.49,27.81,29.08,122429421.0,3524856614.0,653035625.0,0.1874773998738583,002428.SZ,sz002428
