TRADE_DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMOUNT,OUTSTANDING_SHARE,TURNOVER,TS_CODE,AK_SYMBOL
2025-07-25,117.9,122.0,117.9,121.94,35693376.0,4286282667.0,663716019.0,0.053778084268296,603986.SH,sh603986
2025-07-28,122.0,122.2,119.71,120.26,19101197.0,2302878681.0,663716019.0,0.0287791712919317,603986.SH,sh603986
2025-07-29,120.0,121.5,119.4,120.28,16994065.0,2042850877.0,663716019.0,0.0256044219417883,603986.SH,sh603986
2025-07-30,124.06,129.67,123.31,123.99,47298744.0,5957278630.0,663716019.0,0.0712635263365551,603986.SH,sh603986
2025-07-31,121.0,126.8,120.28,121.13,30874773.0,3788904668.0,663716019.0,0.046518047050481,603986.SH,sh603986
2025-08-01,120.5,122.1,117.09,117.31,24781348.0,2946052922.0,663716019.0,0.0373372757182164,603986.SH,sh603986
2025-08-04,116.3,120.2,116.3,118.84,16078264.0,1902328181.0,663716019.0,0.0242246134487225,603986.SH,sh603986
2025-08-05,119.0,119.3,117.3,118.0,12485055.0,1471568918.0,663716019.0,0.0188108387361372,603986.SH,sh603986
2025-08-06,118.0,118.65,117.01,118.28,11448567.0,1349530061.0,663716019.0,0.0172491949452255,603986.SH,sh603986
2025-08-07,117.98,119.2,117.32,117.67,16994088.0,2007916589.0,663716019.0,0.0256044565951631,603986.SH,sh603986
2025-08-08,117.68,117.68,116.4,116.4,12151300.0,1418055203.0,663716019.0,0.0183079806003597,603986.SH,sh603986
2025-08-11,116.79,118.5,116.48,117.95,12798173.0,1508912168.0,663716019.0,0.0192826037546639,603986.SH,sh603986
2025-08-12,118.31,121.5,117.6,120.47,25275618.0,3025712891.0,663716019.0,0.0380819767437314,603986.SH,sh603986
2025-08-13,120.49,123.0,119.94,121.46,24098654.0,2925464097.0,663716019.0,0.0363086821925869,603986.SH,sh603986
2025-08-14,121.7,125.49,120.55,121.01,31400325.0,3865198490.0,663716019.0,0.0473098796791282,603986.SH,sh603986
2025-08-15,120.01,123.5,120.01,122.9,21150022.0,2590294402.0,663716019.0,0.0318660713234947,603986.SH,sh603986
2025-08-18,123.33,127.98,121.51,125.7,32849852.0,4106567032.0,663716019.0,0.0494938363089289,603986.SH,sh603986
2025-08-19,125.48,128.88,122.85,123.26,32317520.0,4046363006.0,663716019.0,0.0486917884680435,603986.SH,sh603986
2025-08-20,123.0,127.25,122.01,127.01,35989759.0,4494071401.0,663716019.0,0.0542246351899486,603986.SH,sh603986
2025-08-21,132.09,139.71,132.09,137.16,85897149.0,11832481427.0,663716019.0,0.1294185262085711,603986.SH,sh603986
2025-08-22,135.12,150.88,135.08,150.88,78079054.0,11210984976.0,663716019.0,0.1176392489631925,603986.SH,sh603986
2025-08-25,159.0,163.5,152.88,157.8,83619760.0,13172131297.0,663716019.0,0.1259872560044388,603986.SH,sh603986
2025-08-26,157.8,157.8,152.62,154.4,38225332.0,5917649650.0,663716019.0,0.0575929025452676,603986.SH,sh603986
2025-08-27,155.87,168.5,152.18,158.63,62381058.0,10014123480.0,663716019.0,0.0939875733208723,603986.SH,sh603986
2025-08-28,161.0,165.8,159.01,164.45,49432831.0,8027959133.0,663716019.0,0.0744788879353535,603986.SH,sh603986
2025-08-29,161.8,162.0,156.4,158.98,39800586.0,6325048099.0,663716019.0,0.0599662880820117,603986.SH,sh603986
2025-09-01,164.11,174.88,157.0,174.88,61279712.0,10223340506.0,663716019.0,0.092328210026222,603986.SH,sh603986
2025-09-02,179.28,188.0,173.05,176.0,76285237.0,13736024580.0,663716019.0,0.1149365614452647,603986.SH,sh603986
2025-09-03,176.26,177.73,168.55,171.09,44127598.0,7587032736.0,663716019.0,0.0664856606391475,603986.SH,sh603986
2025-09-04,169.0,171.07,153.98,153.98,45498053.0,7284233850.0,663716019.0,0.0685504819795527,603986.SH,sh603986
2025-09-05,150.0,163.99,145.8,159.56,69948770.0,10700137153.0,663716019.0,0.1053896063942973,603986.SH,sh603986
2025-09-08,161.93,169.0,159.15,163.83,52371475.0,8602671849.0,663716019.0,0.0789064501997502,603986.SH,sh603986
2025-09-09,161.0,162.8,154.62,157.15,32732034.0,5191824525.0,663716019.0,0.0493163236429283,603986.SH,sh603986
2025-09-10,157.14,163.25,155.7,161.29,33465697.0,5358368655.0,666002353.0,0.0502486167642714,603986.SH,sh603986
2025-09-11,161.26,177.42,160.0,177.42,55442395.0,9422962073.0,666002353.0,0.0832465452265451,603986.SH,sh603986
2025-09-12,179.99,195.16,177.5,190.21,71035704.0,13432520618.0,666002353.0,0.1066598393834803,603986.SH,sh603986
2025-09-15,193.51,194.5,186.62,190.94,49548307.0,9469855424.0,666002353.0,0.0743965945117314,603986.SH,sh603986
2025-09-16,189.0,196.8,186.89,189.16,40856221.0,7810240314.0,666277095.0,0.0613201643979671,603986.SH,sh603986
2025-09-17,188.99,192.58,182.97,186.6,33924537.0,6358605811.0,666277095.0,0.0509165589731101,603986.SH,sh603986
2025-09-18,189.39,200.85,186.8,190.88,59041052.0,11381851203.0,666277095.0,0.0886133598814469,603986.SH,sh603986
2025-09-19,194.31,195.88,184.91,185.2,37191821.0,7051277593.0,666277095.0,0.0558203505404909,603986.SH,sh603986
2025-09-22,188.88,198.09,186.28,195.01,41197769.0,8002507023.0,666277095.0,0.061832785952217,603986.SH,sh603986
2025-09-23,196.0,201.59,188.69,194.07,39994566.0,7780830608.0,666277095.0,0.0600269261845178,603986.SH,sh603986
2025-09-24,194.6,208.23,193.0,199.8,50702069.0,10165505184.0,666277095.0,0.0760975716867469,603986.SH,sh603986
2025-09-25,199.0,204.5,193.1,197.41,40427591.0,8001322068.0,666277095.0,0.0606768434685571,603986.SH,sh603986
2025-09-26,196.01,206.02,190.21,190.21,43520085.0,8650850074.0,666277095.0,0.0653182967365852,603986.SH,sh603986
2025-09-29,196.5,203.63,195.1,197.13,43487798.0,8628937828.0,666277095.0,0.0652698379193119,603986.SH,sh603986
2025-09-30,204.34,216.84,203.0,213.3,59786499.0,12672064936.0,666277095.0,0.0897321841748139,603986.SH,sh603986
2025-10-09,222.0,234.63,218.6,225.49,58538977.0,13293421697.0,666277095.0,0.0878598070371907,603986.SH,sh603986
2025-10-10,225.5,230.5,212.12,215.02,44303098.0,9636636022.0,666277095.0,0.0664935029771659,603986.SH,sh603986
2025-10-13,201.5,214.9,201.5,207.85,42481514.0,8843113207.0,666277095.0,0.0637595293591775,603986.SH,sh603986
2025-10-14,215.45,220.53,193.0,196.0,52201780.0,10762183994.0,667238757.0,0.0782355333115039,603986.SH,sh603986
2025-10-15,195.55,202.4,186.41,202.01,39044231.0,7587280731.0,667238757.0,0.0585161317300397,603986.SH,sh603986
2025-10-16,201.44,214.8,198.53,208.13,45866618.0,9577597463.0,667238757.0,0.0687409379608325,603986.SH,sh603986
2025-10-17,208.12,211.5,201.0,201.21,32935784.0,6777034048.0,667238757.0,0.0493613173012969,603986.SH,sh603986
2025-10-20,207.73,215.0,203.03,208.35,36724406.0,7696246687.0,667238757.0,0.0550393777560496,603986.SH,sh603986
2025-10-21,211.0,222.0,209.66,219.01,40511722.0,8794154720.0,667238757.0,0.0607154808904483,603986.SH,sh603986
2025-10-22,214.0,214.0,205.3,210.93,37182952.0,7766034297.0,667238757.0,0.0557266070202214,603986.SH,sh603986
2025-10-23,205.98,208.1,200.39,206.96,27405848.0,5585482986.0,667238757.0,0.0410735253497872,603986.SH,sh603986
2025-10-24,214.0,221.88,212.0,221.08,45061812.0,9805113356.0,667238757.0,0.067534764021509,603986.SH,sh603986
2025-10-27,230.0,243.19,222.83,243.19,52091618.0,12070372380.0,667238757.0,0.0780704319908083,603986.SH,sh603986
2025-10-28,236.5,254.44,234.58,246.95,52729642.0,12909959810.0,667238757.0,0.0790266474283957,603986.SH,sh603986
2025-10-29,246.96,252.63,236.0,241.15,50374463.0,12221563111.0,667238757.0,0.0754969079231708,603986.SH,sh603986
2025-10-30,246.24,247.0,231.78,232.0,43365443.0,10345840392.0,667238757.0,0.0649923922210052,603986.SH,sh603986
2025-10-31,231.0,234.68,216.0,220.0,49242882.0,10882575346.0,667238757.0,0.0738009917490449,603986.SH,sh603986
2025-11-03,217.0,230.68,216.66,230.1,46261349.0,10367480649.0,667238757.0,0.0693325267974504,603986.SH,sh603986
2025-11-04,231.0,231.22,222.5,224.99,29336781.0,6624358513.0,667238757.0,0.0439674414776238,603986.SH,sh603986
2025-11-05,213.0,220.49,210.95,218.39,33513145.0,7203205727.0,667238757.0,0.0502266162575445,603986.SH,sh603986
2025-11-06,224.5,228.0,222.25,227.2,34334670.0,7753801390.0,667238757.0,0.0514578471945687,603986.SH,sh603986
2025-11-07,222.68,227.89,219.55,220.95,27898918.0,6232949914.0,667238757.0,0.0418124962126563,603986.SH,sh603986
2025-11-10,228.49,231.45,212.5,218.96,38583223.0,8553969468.0,667238757.0,0.0578252126322452,603986.SH,sh603986
2025-11-11,223.6,227.01,216.71,216.99,34192490.0,7601312659.0,667238757.0,0.0512447600522102,603986.SH,sh603986
2025-11-12,213.0,218.58,207.01,209.5,34952308.0,7391713965.0,667238757.0,0.0523835098505826,603986.SH,sh603986
2025-11-13,212.0,230.45,211.88,227.5,62663858.0,14161665405.0,667238757.0,0.0939151950371492,603986.SH,sh603986
2025-11-14,216.0,216.49,205.78,205.78,54863327.0,11531317142.0,667238757.0,0.0822244307969658,603986.SH,sh603986
2025-11-17,207.81,214.74,206.36,207.5,33506074.0,7029315417.0,667238757.0,0.0502160188515548,603986.SH,sh603986
