TS_CODE,SEC_NAME,RAW_CODE,RAW_NAME,TURNOVER_AMOUNT,LIQUIDITY_RANK,UNIVERSE_DATE
300308.SZ,中际旭创,sz300308,中际旭创,27877944598.0,1,20260423
300502.SZ,新易盛,sz300502,新易盛,24651177088.0,2,20260423
002384.SZ,东山精密,sz002384,东山精密,21385987414.0,3,20260423
300394.SZ,天孚通信,sz300394,天孚通信,19837910675.0,4,20260423
601138.SH,工业富联,sh601138,工业富联,18794971863.0,5,20260423
600487.SH,亨通光电,sh600487,亨通光电,18775907731.0,6,20260423
300476.SZ,胜宏科技,sz300476,胜宏科技,16950393303.0,7,20260423
002475.SZ,立讯精密,sz002475,立讯精密,15938711239.0,8,20260423
300750.SZ,宁德时代,sz300750,宁德时代,15566836621.0,9,20260423
002281.SZ,光迅科技,sz002281,光迅科技,14268506018.0,10,20260423
300058.SZ,蓝色光标,sz300058,蓝色光标,14193857927.0,11,20260423
603986.SH,兆易创新,sh603986,兆易创新,13709630158.0,12,20260423
002428.SZ,云南锗业,sz002428,云南锗业,13001018044.0,13,20260423
601899.SH,紫金矿业,sh601899,紫金矿业,12339162919.0,14,20260423
688525.SH,佰维存储,sh688525,佰维存储,12099222997.0,15,20260423
000988.SZ,华工科技,sz000988,华工科技,11974918343.0,16,20260423
600105.SH,永鼎股份,sh600105,永鼎股份,11191724334.0,17,20260423
001309.SZ,德明利,sz001309,德明利,10762906507.0,18,20260423
002463.SZ,沪电股份,sz002463,沪电股份,10565056376.0,19,20260423
600118.SH,中国卫星,sh600118,中国卫星,10398587622.0,20,20260423
300136.SZ,信维通信,sz300136,信维通信,10389552190.0,21,20260423
688256.SH,寒武纪,sh688256,寒武纪,10258176454.0,22,20260423
300857.SZ,协创数据,sz300857,协创数据,10182327336.0,23,20260423
688008.SH,澜起科技,sh688008,澜起科技,10151119437.0,24,20260423
000938.SZ,紫光股份,sz000938,紫光股份,9910213646.0,25,20260423
600522.SH,中天科技,sh600522,中天科技,9725410049.0,26,20260423
688041.SH,海光信息,sh688041,海光信息,9614878502.0,27,20260423
002837.SZ,英维克,sz002837,英维克,9431084420.0,28,20260423
600150.SH,中国船舶,sh600150,中国船舶,9163705942.0,29,20260423
300274.SZ,阳光电源,sz300274,阳光电源,8774186637.0,30,20260423
601869.SH,长飞光纤,sh601869,长飞光纤,8530146002.0,31,20260423
600703.SH,三安光电,sh600703,三安光电,8476803087.0,32,20260423
300620.SZ,光库科技,sz300620,光库科技,8369325022.0,33,20260423
603083.SH,剑桥科技,sh603083,剑桥科技,7960544309.0,34,20260423
600111.SH,北方稀土,sh600111,北方稀土,7734218126.0,35,20260423
600330.SH,天通股份,sh600330,天通股份,7638715905.0,36,20260423
002361.SZ,神剑股份,sz002361,神剑股份,7229819154.0,37,20260423
300442.SZ,润泽科技,sz300442,润泽科技,7186296221.0,38,20260423
300456.SZ,赛微电子,sz300456,赛微电子,7183339836.0,39,20260423
301308.SZ,江波龙,sz301308,江波龙,6948353861.0,40,20260423
688048.SH,长光华芯,sh688048,长光华芯,6898302563.0,41,20260423
300395.SZ,菲利华,sz300395,菲利华,6679259097.0,42,20260423
600498.SH,烽火通信,sh600498,烽火通信,6618448259.0,43,20260423
002008.SZ,大族激光,sz002008,大族激光,6522707729.0,44,20260423
002149.SZ,西部材料,sz002149,西部材料,6438400392.0,45,20260423
002709.SZ,天赐材料,sz002709,天赐材料,6437149571.0,46,20260423
300548.SZ,长芯博创,sz300548,长芯博创,6364283394.0,47,20260423
600875.SH,东方电气,sh600875,东方电气,6178981881.0,48,20260423
688820.SH,C盛合,sh688820,C盛合,6158118895.0,49,20260423
300342.SZ,天银机电,sz300342,天银机电,6138032426.0,50,20260423
